Departamento,Monto Adjudicado 1,Cantidad Notebook
A. PARAGUAY,10156606.0,0
A. PARANÁ,352099052.0,12
ALTO PARAGUAY,73480854.0,6
ALTO PARANÁ,35798774.0,0
AMAMBAY,169939398.0,12
Acahay,102028224.0,20
Alto Paraguay,1624440205.0,319
Alto Parana,658557000.0,32
Alto Paraná,31849288945.0,6090
Alto Verá,51014112.0,10
Altos,51014112.0,10
Amambay,5111161552.0,924
Areguá,137924112.0,30
Arroyos y Esteros,51014112.0,10
Asunción,2849121748.0,615
Atyrá,51014112.0,10
Ayolas,274839112.0,60
BOQUERÓN,128511254.0,6
Bella Vista,87919112.0,20
Benjamín Aceval,69466612.0,15
Boqueron,4797676560.0,880
Boquerón,185545000.0,8
CAAGUAZÚ,647197571.0,47
CAAZAPÁ,333742115.0,17
CANINDEYÚ,444263810.0,32
CAPITAL,424157495.0,65
CENTRAL,980064997.0,59
CONCEPCIÓN,362923450.0,22
CORDILLERA,347805266.0,26
Caacupé,138933224.0,30
Caaguazú,20110575813.0,3417
Caapucú,87919112.0,20
Caazapá,5657781364.0,1046
Canindeyú,8320234692.0,1590
Capiatá,69466612.0,15
Capital,22662450290.0,3511
Capitán Bado,51014112.0,10
Capitán Meza,102028224.0,20
Caraguatay,51014112.0,10
Carapeguá,153042336.0,30
Carayaó,102028224.0,20
Carlos Antonio López,51014112.0,10
Carmelo Peralta,51014112.0,10
Central,86688719068.0,15312
Ciudad del Este,87919112.0,20
Concepción,10302403501.0,1848
Cordillera,24537044085.0,6851
Coronel Bogado,51014112.0,10
Coronel Martínez,87919112.0,20
Coronel Oviedo,653724672.0,140
Curuguaty,326862336.0,70
Edelira,51014112.0,10
Encarnación,87919112.0,20
Escobar,102028224.0,20
Eusebio Ayala,51014112.0,10
Fernando de la Mora,175838224.0,40
Filadelfia,137924112.0,30
GUAIRA,22977690.0,0
GUAIRÁ,337074385.0,27
General Artigas,102028224.0,20
General Bruguez,51014112.0,10
General Delgado,51014112.0,10
General Eugenio A. Garay,51014112.0,10
General José Eduvigis Díaz,51014112.0,10
Guairá,7655246892.0,1230
Guarambaré,87919112.0,20
Hohenau,137924112.0,30
Horqueta,51014112.0,10
Humaitá,51014112.0,10
ITAPÚA,340152657.0,17
ITAPÚA ,215387467.0,11
Independencia,342989672.0,70
Isla Pucú,153042336.0,30
Isla Umbú,51014112.0,10
Itakyry,208399836.0,45
Itapúa,19439394638.0,3413
Itapúa Poty,51014112.0,10
Itauguá,175838224.0,40
Iturbe,87919112.0,20
Itá,226852336.0,50
José Domingo Ocampos,138933224.0,30
José Fassardi,102028224.0,20
Julián Augusto Saldívar,87919112.0,20
Lambaré,313762336.0,70
Laureles,51014112.0,10
Loreto,87919112.0,20
Luque,276857336.0,60
MISIONES,123616640.0,8
MISIONES ,16567148.0,0
Mariano Roque Alonso,51014112.0,10
Mariscal Estigarribia,69466612.0,15
Mariscal Francisco Solano López,87919112.0,20
Mayor Martínez,51014112.0,10
Mbocayaty del Yhaguy,51014112.0,10
Mbuyapey,87919112.0,20
Misiones,9148091436.0,1555
Natalicio Talavera,51014112.0,10
Nueva Colombia,87919112.0,20
Nueva Toledo,51014112.0,10
PARAGUARÍ,362349175.0,23
PDTE. HAYES,195007291.0,13
Paraguarí,12362441448.0,2096
Paso Yobai,120480724.0,25
Pedro Juan Caballero,188938224.0,40
Pilar,342989672.0,70
Pirayú,175838224.0,40
Piribebuy,102028224.0,20
Presidente Franco,51014112.0,10
Presidente Hayes,10273445772.0,1911
Puerto Casado,51014112.0,10
Puerto Pinasco,51014112.0,10
Quiindy,102028224.0,20
Quyquyhó,87919112.0,20
Raúl Arsenio Oviedo,137924112.0,30
Repatriación,87919112.0,20
SAN PEDRO,29388232.0,0
SAN PEDRO - SECTOR NORTE,318417034.0,26
SAN PEDRO - SECTOR SUR,484036093.0,39
San Antonio,87919112.0,20
San Cosme y Damián,138933224.0,30
San Ignacio,478895560.0,100
San Juan Bautista,478895560.0,100
San Lorenzo,804372008.0,180
San Miguel,51014112.0,10
San Patricio,87919112.0,20
San Pedro,17913521008.0,3306
San Pedro del Paraná,138933224.0,30
San Rafael del Paraná,138933224.0,30
San Roque González de Santacruz,69466612.0,15
Santa Fe del Paraná,87919112.0,20
Santa María,102028224.0,20
Santa Rosa,237934112.0,50
Santa Rosa del Mbutuy,153042336.0,30
Santiago,138933224.0,30
Tacuaras,51014112.0,10
Tavaí,138933224.0,30
Territorio Nacional,31034194.0,6
Valenzuela,51014112.0,10
Vaquería,87919112.0,20
Villa Elisa,51014112.0,10
Villa Florida,51014112.0,10
Villa Hayes,138933224.0,30
Villarrica,314771448.0,70
Yabebyry,51014112.0,10
Yaguarón,189947336.0,40
Yatytay,87919112.0,20
Yby Yaú,51014112.0,10
Ybycuí,51014112.0,10
Ybytymí,51014112.0,10
Yguazú,51014112.0,10
Yhú,51014112.0,10
Ypacaraí,87919112.0,20
Yuty,187929112.0,40
ÑEEMBUCÚ,214606295.0,17
ÑEEMBUCÚ ,22977690.0,0
Ñacunday,51014112.0,10
Ñeembucú,2528014305.0,398
Ñemby,138933224.0,30
Ñumí,51014112.0,10
