Departamento,Costo llamado,Cantidad
ALTO PARAGUAY,153591663,164
ALTO PARANA,751042780,1821
ALTO PARANÁ,110139855,15
AMAMBAY,339574342,382
Alto Paraguay,130548,1
Alto Parana,68715,1
Alto paraguay,7049592,54
Amambay,14119822,121
BOQUERÓN,14685314,2
Boqueron,189613393,430
CAAGUAZÚ,80769227,11
CAAGUAZÚ ,7342657,1
CAAZAPÁ,44055942,6
CANINDEYÚ,36713285,5
CAPITAL,1008493061,854
CENTRAL,2779062422,4262
CENTRAL ,30217160,20
CONCEPCION,570774683,1032
CONCEPCIÓN ,117482512,16
CORDILLERA,892414223,1027
Caaguazu,1070876538,1741
Caazapa,565745996,766
Canindeyu,535168605,938
Capital,1965837047,322
Capital ,55500000,37
Central,119696325,1083
Central ,2542455,37
Cordillera,715825186,1560
GUAIRÁ,80769227,11
Guaira,664132436,1192
ITAPUA,1054341040,1592
MISIONES,354928407,337
Misiones,91460297,559
PARAGUARÍ,66083913,9
PRESIDENTE HAYES,170638748,344
Paraguari,570514841,1009
Presidente Hayes,37695078,154
SAN PEDRO,1282445860,1140
San Pedro,120241881,1150
ÑEEMBUCÚ,7342657,1
Ñeembucú,234825850,487
